Cay Horstmann,Timothy A. Budd;0;004.43 C++ /HORc/BIG 2;1056;978-0-470-38328-5;Big C++;1
Cay Horstmann,Timothy A. Budd;0;004.43 C++ /HORc/BIG 2;1056;978-0-470-38328-5;Big C++;2
Cay Horstmann,Timothy A. Budd;0;004.43 C++ /HORc/BIG 2;1056;978-0-470-38328-5;Big C++;3
John E. Hopcroft,Rajeev Motwani,Jeffrey Ullman;0;519.6 /HOPj/INT 2;521;0-201-44124-1;Introduction to automata theory, languages, and computation;4
John E. Hopcroft,Rajeev Motwani,Jeffrey Ullman;0;519.6 /HOPj/INT 2;521;0-201-44124-1;Introduction to automata theory, languages, and computation;5
Stuart Russell,Peter Norvig,Prentice-Hall;0;004.8 /RUSs/ART;932;0-13-360124-2;Artificial intelligence : a modern approach;6
Stuart Russell,Peter Norvig,Prentice-Hall;0;004.8 /RUSs/ART;932;0-13-360124-2;Artificial intelligence : a modern approach;7
